Supervised,alpha,beta,lambda,precisione
0.1,10.0,10000000.0,0.000244,0.46476399999999995
0.1,100.0,100000000.0,0.000488,Nan
0.1,1.0,1000000.0,0.000122,Nan
0.2,10.0,10000000.0,0.015625,0.5736654999999999
0.2,100.0,100000000.0,0.03125,Nan
0.2,1.0,1000000.0,0.0078125,Nan
0.3,10.0,10000000.0,0.003906,0.586486
0.3,100.0,100000000.0,0.007812,Nan
0.3,1.0,1000000.0,0.001953,Nan
0.4,0.001,1.0,0.015625,0.5949525
0.4,0.01,10.0,0.03125,Nan
0.4,0.0001,0.1,0.0078125,Nan
0.5,10.0,10000.0,0.015625,0.6272835
0.5,100.0,100000.0,0.03125,Nan
0.5,1.0,1000.0,0.0078125,Nan
0.6,10.0,10000000.0,0.003906,0.6839165
0.6,100.0,100000000.0,0.007812,Nan
0.6,1.0,1000000.0,0.001953,Nan
0.7,10.0,10000000.0,0.003906,0.6942269999999999
0.7,100.0,100000000.0,0.007812,Nan
0.7,1.0,1000000.0,0.001953,Nan
0.8,0.001,1.0,0.015625,0.7216945
0.8,0.01,10.0,0.03125,Nan
0.8,0.0001,0.1,0.0078125,Nan
0.9,10.0,10000000.0,0.003906,0.754877
0.9,100.0,100000000.0,0.007812,Nan
0.9,1.0,1000000.0,0.001953,Nan
1.0,10.0,10000000.0,0.003906,0.7471209999999999
1.0,100.0,100000000.0,0.007812,Nan
1.0,1.0,1000000.0,0.001953,Nan
Supervised,alpha,beta,lambda,precisione
0.1,10.0,10000000.0,0.000244,0.46476399999999995
0.1,100.0,100000000.0,0.000488,Nan
0.1,1.0,1000000.0,0.000122,Nan
0.2,10.0,10000000.0,0.015625,0.5736654999999999
0.2,100.0,100000000.0,0.03125,Nan
0.2,1.0,1000000.0,0.0078125,Nan
0.3,10.0,10000000.0,0.003906,0.586486
0.3,100.0,100000000.0,0.007812,Nan
0.3,1.0,1000000.0,0.001953,Nan
0.4,0.001,1.0,0.015625,0.5949525
0.4,0.01,10.0,0.03125,Nan
0.4,0.0001,0.1,0.0078125,Nan
0.5,10.0,10000.0,0.015625,0.6272835
0.5,100.0,100000.0,0.03125,Nan
0.5,1.0,1000.0,0.0078125,Nan
0.6,10.0,10000000.0,0.003906,0.6839165
0.6,100.0,100000000.0,0.007812,Nan
0.6,1.0,1000000.0,0.001953,Nan
0.7,10.0,10000000.0,0.003906,0.6942269999999999
0.7,100.0,100000000.0,0.007812,Nan
0.7,1.0,1000000.0,0.001953,Nan
0.8,0.001,1.0,0.015625,0.7216945
0.8,0.01,10.0,0.03125,Nan
0.8,0.0001,0.1,0.0078125,Nan
0.9,10.0,10000000.0,0.003906,0.754877
0.9,100.0,100000000.0,0.007812,Nan
0.9,1.0,1000000.0,0.001953,Nan
1.0,10.0,10000000.0,0.003906,0.7471209999999999
1.0,100.0,100000000.0,0.007812,Nan
1.0,1.0,1000000.0,0.001953,Nan
